ANO,PARAÍBA,NORDESTE,NORTE,SUDESTE,SUL,CENTRO-OESTE,BRASIL IBGE,BRASIL,MUNDO,FR BRASIL,FR MUNDO,DR BRASIL,DR MUNDO,BR BRASIL,BR MUNDO,LE BRASIL,LE MUNDO
1950,,,,,,,,  53 152, 2 477 675,"6,12","4,86","17,3","19,5","46,4","36,8","48,1","46,5"
1951,,,,,,,,  54 759, 2 520 970,"6,12","4,83","17,1","19,1","46,4","36,5","48,4","47,1"
1952,,,,,,,,  56 423, 2 565 291,"6,10","5,01","16,8","18,4","46,2","37,7","48,9","48,2"
1953,,,,,,,,  58 143, 2 615 251,"6,09","4,94","16,5","18,0","46,0","36,9","49,2","48,8"
1954,,,,,,,,  59 908, 2 665 307,"6,09","5,01","16,1","17,5","45,8","37,3","49,7","49,6"
1955,,,,,,,,  61 747, 2 718 652,"6,08","5,01","15,8","17,1","45,6","37,1","50,2","50,1"
1956,,,,,,,,  63 655, 2 773 493,"6,08","4,94","15,4","16,7","45,3","36,4","50,7","50,6"
1957,,,,,,,,  65 635, 2 828 513,"6,08","5,08","15,1","16,5","45,0","37,1","51,2","50,9"
1958,,,,,,,,  67 687, 2 887 221,"6,08","4,94","14,8","16,0","44,7","35,9","51,6","51,5"
1959,,,,,,,,  69 785, 2 944 995,"6,08","4,74","14,4","17,3","44,3","34,3","52,2","49,3"
1960,,,,,,,,  71 977, 2 995 589,"6,06","4,70","14,0","18,2","43,9","33,9","52,7","47,7"
1961,,,,,,,,  74 208, 3 042 878,"6,04","4,57","13,7","16,3","43,4","32,9","53,2","50,4"
1962,,,,,,,,  76 452, 3 093 864,"6,00","5,03","13,3","14,8","42,8","35,8","53,7","53,1"
1963,,,,,,,,  78 747, 3 159 510,"5,93","5,32","13,0","14,8","42,2","37,5","54,2","53,6"
1964,,,,,,,,  81 084, 3 232 049,"5,82","5,13","12,6","14,4","41,2","35,9","54,6","54,2"
1965,,,,,,,,  83 441, 3 302 376,"5,68","5,08","12,3","14,5","40,1","35,3","55,1","53,9"
1966,,,,,,,,  85 806, 3 371 848,"5,53","4,96","12,0","14,1","39,0","34,4","55,5","54,5"
1967,,,,,,,,  88 152, 3 440 986,"5,37","4,86","11,7","13,8","37,9","33,6","55,9","54,9"
1968,,,,,,,,  90 494, 3 509 910,"5,20","4,96","11,3","13,5","36,8","34,3","56,3","55,5"
1969,,,,,,,,  92 824, 3 583 711,"5,08","4,87","11,1","13,3","36,1","33,7","56,7","55,8"
1970,,,,,,,,  95 177, 3 657 599,"4,97","4,83","10,8","13,1","35,6","33,6","57,2","56,1"
1971,,,,,,,,  97 563, 3 733 182,"4,86","4,68","10,6","13,2","35,1","32,8","57,6","55,9"
1972,,,,,,,,  99 969, 3 807 145,"4,75","4,55","10,4","12,5","34,6","32,1","58,0","57,1"
1973,,,,,,,,  102 419, 3 882 457,"4,65","4,42","10,2","12,2","34,3","31,4","58,5","57,6"
1974,,,,,,,,  104 914, 3 958 046,"4,50","4,27","10,0","11,9","33,6","30,6","58,9","58,0"
1975,,,,,,,,  107 420, 4 032 988,"4,42","4,08","9,7","11,7","33,4","29,6","59,4","58,3"
1976,,,,,,,,  109 981, 4 105 886,"4,34","3,98","9,6","11,4","33,2","29,1","59,8","58,7"
1977,,,,,,,,  112 592, 4 179 126,"4,27","3,85","9,4","11,1","33,0","28,5","60,2","59,4"
1978,,,,,,,,  115 287, 4 252 419,"4,20","3,79","9,2","10,9","32,7","28,3","60,7","59,7"
1979,,,,,,,,  118 041, 4 326 896,"4,12","3,78","9,0","10,7","32,5","28,5","61,3","60,2"
1980,,,,,,,,  120 853, 4 404 270,"4,04","3,75","8,8","10,6","32,2","28,5","61,8","60,6"
1981,,,,,,,,  123 724, 4 483 746,"3,94","3,72","8,6","10,5","31,8","28,5","62,3","61,0"
1982,,,,,,,,  126 613, 4 565 510,"3,84","3,71","8,3","10,3","31,2","28,8","62,9","61,4"
1983,,,,,,,,  129 518, 4 650 460,"3,72","3,58","8,2","10,3","30,6","27,9","63,3","61,6"
1984,,,,,,,,  132 437, 4 733 308,"3,60","3,55","8,0","10,1","29,8","27,9","63,8","61,9"
1985,,,,,,,,  135 340, 4 818 364,"3,47","3,52","7,8","10,0","29,0","27,9","64,2","62,2"
1986,,,,,,,,  138 226, 4 905 097,"3,34","3,51","7,6","9,8","28,1","28,0","64,6","62,8"
1987,,,,,,,,  141 061, 4 995 029,"3,23","3,48","7,4","9,6","27,3","27,9","65,1","63,2"
1988,,,,,,,,  143 872, 5 086 940,"3,11","3,39","7,3","9,6","26,4","27,3","65,5","63,3"
1989,,,,,,,,  146 636, 5 177 648,"3,01","3,35","7,2","9,4","25,7","27,0","65,9","63,8"
1990,,,,,,,,  149 371, 5 269 760,"2,91","3,31","7,2","9,3","24,8","26,8","66,0","64,0"
1991,,,,,,,,  152 042, 5 362 591,"2,82","3,13","7,1","9,3","24,1","25,4","66,3","64,1"
1992,,,,,,,,  154 631, 5 449 900,"2,72","3,04","7,0","9,1","23,4","24,7","66,7","64,3"
1993,,,,,,,,  157 171, 5 535 472,"2,67","2,98","6,9","9,1","23,0","24,2","67,1","64,4"
1994,,,,,,,,  159 711, 5 619 395,"2,62","2,93","6,7","9,1","22,6","23,7","67,6","64,5"
1995,,,,,,,,  162 250, 5 702 061,"2,58","2,88","6,7","8,9","22,3","23,3","67,9","64,9"
1996,,,,,,,,  164 781, 5 784 378,"2,52","2,83","6,6","8,8","21,8","22,8","68,4","65,1"
1997,,,,,,,,  167 294, 5 865 912,"2,47","2,79","6,5","8,7","21,5","22,5","68,8","65,5"
1998,,,,,,,,  169 800, 5 947 050,"2,41","2,76","6,4","8,6","21,1","22,1","69,2","65,7"
1999,,,,,,,,  172 280, 6 027 575,"2,33","2,73","6,4","8,6","20,4","21,8","69,5","66,1"
2000,,,,,,,,  174 693, 6 107 942,"2,26","2,73","6,4","8,5","19,8","21,8","69,7","66,5"
2001,3.468.594,48.331.186,13.245.084,73.470.763,25.453.264,11.885.529,172.385.826,  177 055, 6 189 856,"2,18","2,70","6,3","8,4","19,3","21,5","70,2","66,8"
